internal_requirement_id,stage_id,stage_label,topic_id,topic_label,subtopic_id,subtopic_label,code,citation_label,notes
CSAP-NPG-CR-APP-36a,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-APP-36b,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-APP-36c,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-APP-36d,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-APP-36e,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-APP-36f,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-APP-36g,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-APP-36h,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-APP-36i,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-APP-36j,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-AUTH-1,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-AUTH-2,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-AUTH-3,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-AUTH-3a,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-AUTH-3b,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-BM-19,,,REMEDIATION,"Remediation plans, methods, confirmation",BACKFILL MATERIAL,BACKFILL MATERIAL,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-BM-19a,,,REMEDIATION,"Remediation plans, methods, confirmation",BACKFILL MATERIAL,BACKFILL MATERIAL,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-BM-19b,,,REMEDIATION,"Remediation plans, methods, confirmation",BACKFILL MATERIAL,BACKFILL MATERIAL,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-BM-19c,,,REMEDIATION,"Remediation plans, methods, confirmation",BACKFILL MATERIAL,BACKFILL MATERIAL,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-BM-20,,,REMEDIATION,"Remediation plans, methods, confirmation",BACKFILL MATERIAL,BACKFILL MATERIAL,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-BM-20a,,,REMEDIATION,"Remediation plans, methods, confirmation",BACKFILL MATERIAL,BACKFILL MATERIAL,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-BM-20b,,,REMEDIATION,"Remediation plans, methods, confirmation",BACKFILL MATERIAL,BACKFILL MATERIAL,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-C-8,,,REMEDIATION,"Remediation plans, methods, confirmation",Context,Context,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-C-8a,,,REMEDIATION,"Remediation plans, methods, confirmation",Context,Context,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-C-8b,,,REMEDIATION,"Remediation plans, methods, confirmation",Context,Context,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-CS-21,,,REMEDIATION,"Remediation plans, methods, confirmation",CONFIRMATORY SAMPLING,CONFIRMATORY SAMPLING,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-DD-17,,,REMEDIATION,"Remediation plans, methods, confirmation",Disposal/ Discharge,Disposal/ Discharge,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-DD-17a,,,REMEDIATION,"Remediation plans, methods, confirmation",Disposal/ Discharge,Disposal/ Discharge,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-DD-17b,,,REMEDIATION,"Remediation plans, methods, confirmation",Disposal/ Discharge,Disposal/ Discharge,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-DD-17c,,,REMEDIATION,"Remediation plans, methods, confirmation",Disposal/ Discharge,Disposal/ Discharge,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-33,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-33a,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-33b,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-33c,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-33d,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-33e,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-34,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-34a,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-34b,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-34c,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-FAD-34d,,,REMEDIATION,"Remediation plans, methods, confirmation",Figures and Drawings,Figures and Drawings,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-21a,,,REMEDIATION,"Remediation plans, methods, confirmation",General/Methods,General/Methods,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-21b,,,REMEDIATION,"Remediation plans, methods, confirmation",General/Methods,General/Methods,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-21c,,,REMEDIATION,"Remediation plans, methods, confirmation",General/Methods,General/Methods,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-21d,,,REMEDIATION,"Remediation plans, methods, confirmation",General/Methods,General/Methods,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-21e,,,REMEDIATION,"Remediation plans, methods, confirmation",General/Methods,General/Methods,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-7a,,,REMEDIATION,"Remediation plans, methods, confirmation",General,General,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-7b,,,REMEDIATION,"Remediation plans, methods, confirmation",General,General,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-7c,,,REMEDIATION,"Remediation plans, methods, confirmation",General,General,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-7d,,,REMEDIATION,"Remediation plans, methods, confirmation",General,General,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-7e,,,REMEDIATION,"Remediation plans, methods, confirmation",General,General,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-G-7f,,,REMEDIATION,"Remediation plans, methods, confirmation",General,General,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-HW-18,,,REMEDIATION,"Remediation plans, methods, confirmation",Hazardous Waste,Hazardous Waste,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-HW-18a,,,REMEDIATION,"Remediation plans, methods, confirmation",Hazardous Waste,Hazardous Waste,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-HW-18b,,,REMEDIATION,"Remediation plans, methods, confirmation",Hazardous Waste,Hazardous Waste,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-HW-18c,,,REMEDIATION,"Remediation plans, methods, confirmation",Hazardous Waste,Hazardous Waste,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-HW-18d,,,REMEDIATION,"Remediation plans, methods, confirmation",Hazardous Waste,Hazardous Waste,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-HW-18e,,,REMEDIATION,"Remediation plans, methods, confirmation",Hazardous Waste,Hazardous Waste,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-N-10,,,REMEDIATION,"Remediation plans, methods, confirmation",NOTIFICATIONS,NOTIFICATIONS,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-N-9,,,REMEDIATION,"Remediation plans, methods, confirmation",NOTIFICATIONS,NOTIFICATIONS,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-O-4,,,REMEDIATION,"Remediation plans, methods, confirmation",OBJECTIVES,OBJECTIVES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-O-5,,,REMEDIATION,"Remediation plans, methods, confirmation",OBJECTIVES,OBJECTIVES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-O-5a,,,REMEDIATION,"Remediation plans, methods, confirmation",OBJECTIVES,OBJECTIVES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-O-5b,,,REMEDIATION,"Remediation plans, methods, confirmation",OBJECTIVES,OBJECTIVES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-O-5c,,,REMEDIATION,"Remediation plans, methods, confirmation",OBJECTIVES,OBJECTIVES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-O-6,,,REMEDIATION,"Remediation plans, methods, confirmation",OBJECTIVES,OBJECTIVES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-PD-7,,,REMEDIATION,"Remediation plans, methods, confirmation",PROBLEM DEFINITION,PROBLEM DEFINITION,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-QA-31,,,REMEDIATION,"Remediation plans, methods, confirmation",QA/QC,QA/QC,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-QA-32,,,REMEDIATION,"Remediation plans, methods, confirmation",QA/QC,QA/QC,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-QA-32a,,,REMEDIATION,"Remediation plans, methods, confirmation",QA/QC,QA/QC,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-QA-32b,,,REMEDIATION,"Remediation plans, methods, confirmation",QA/QC,QA/QC,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-QA-32c,,,REMEDIATION,"Remediation plans, methods, confirmation",QA/QC,QA/QC,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-QA-32d,,,REMEDIATION,"Remediation plans, methods, confirmation",QA/QC,QA/QC,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-QA-32e,,,REMEDIATION,"Remediation plans, methods, confirmation",QA/QC,QA/QC,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-QA-32f,,,REMEDIATION,"Remediation plans, methods, confirmation",QA/QC,QA/QC,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-QA-32g,,,REMEDIATION,"Remediation plans, methods, confirmation",QA/QC,QA/QC,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-R-22,,,REMEDIATION,"Remediation plans, methods, confirmation",Results,Results,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-R-23,,,REMEDIATION,"Remediation plans, methods, confirmation",Results,Results,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-R-24,,,REMEDIATION,"Remediation plans, methods, confirmation",Results,Results,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-R-25,,,REMEDIATION,"Remediation plans, methods, confirmation",Results,Results,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-R-26,,,REMEDIATION,"Remediation plans, methods, confirmation",Results,Results,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-R-27,,,REMEDIATION,"Remediation plans, methods, confirmation",Results,Results,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REF-35,,,REMEDIATION,"Remediation plans, methods, confirmation",REFERENCES,REFERENCES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REF-35a,,,REMEDIATION,"Remediation plans, methods, confirmation",REFERENCES,REFERENCES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REF-35b,,,REMEDIATION,"Remediation plans, methods, confirmation",REFERENCES,REFERENCES,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-12,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-12a,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-12b,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-12c,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-12d,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-12e,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-12f,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-13,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-13a,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-13b,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-13c,,,REMEDIATION,"Remediation plans, methods, confirmation",Remediation Standards and Conditions,Remediation Standards and Conditions,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-14,,,REMEDIATION,"Remediation plans, methods, confirmation",REMEDIATION APPROACH,REMEDIATION APPROACH,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-15,,,REMEDIATION,"Remediation plans, methods, confirmation",REMEDIATION APPROACH,REMEDIATION APPROACH,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-28,,,REMEDIATION,"Remediation plans, methods, confirmation",Post-Remediation Monitoring,Post-Remediation Monitoring,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-REM-29,,,REMEDIATION,"Remediation plans, methods, confirmation",Post-Remediation Monitoring,Post-Remediation Monitoring,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-RS-11,,,REMEDIATION,"Remediation plans, methods, confirmation",REGULATORY SETTING,REGULATORY SETTING,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-RSK-15a,,,REMEDIATION,"Remediation plans, methods, confirmation",Permanent Risk Management Systems,Permanent Risk Management Systems,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-RSK-15b,,,REMEDIATION,"Remediation plans, methods, confirmation",Permanent Risk Management Systems,Permanent Risk Management Systems,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-S-30,,,REMEDIATION,"Remediation plans, methods, confirmation",Statistics,Statistics,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-S-30a,,,REMEDIATION,"Remediation plans, methods, confirmation",Statistics,Statistics,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-S-30b,,,REMEDIATION,"Remediation plans, methods, confirmation",Statistics,Statistics,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-S-30c,,,REMEDIATION,"Remediation plans, methods, confirmation",Statistics,Statistics,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-SS-16a,,,REMEDIATION,"Remediation plans, methods, confirmation",Stockpile Sampling,Stockpile Sampling,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-SS-16b,,,REMEDIATION,"Remediation plans, methods, confirmation",Stockpile Sampling,Stockpile Sampling,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-SS-16c,,,REMEDIATION,"Remediation plans, methods, confirmation",Stockpile Sampling,Stockpile Sampling,CSAP_NPG,CSAP NPG,
CSAP-NPG-CR-WM-16,,,REMEDIATION,"Remediation plans, methods, confirmation",WASTE MANAGEMENT,WASTE MANAGEMENT,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-APP-23,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-APP-23a,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-APP-23b,,,REMEDIATION,"Remediation plans, methods, confirmation",APPENDICES,APPENDICES,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-AUTH-1,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-AUTH-2,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-AUTH-3,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-AUTH-3a,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-AUTH-3b,,,REMEDIATION,"Remediation plans, methods, confirmation",AUTHORS AND RELIANCE,AUTHORS AND RELIANCE,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-C-10a,,,REMEDIATION,"Remediation plans, methods, confirmation",Consultation,Consultation,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-C-10b,,,REMEDIATION,"Remediation plans, methods, confirmation",Consultation,Consultation,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-C-10c,,,REMEDIATION,"Remediation plans, methods, confirmation",Consultation,Consultation,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-C-10d,,,REMEDIATION,"Remediation plans, methods, confirmation",Consultation,Consultation,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-CAF-21,,,REMEDIATION,"Remediation plans, methods, confirmation",COVENANTS AND FINANCIAL SECURITY,COVENANTS AND FINANCIAL SECURITY,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-MOW-18,,,REMEDIATION,"Remediation plans, methods, confirmation",MANAGEMENT OF WASTES,MANAGEMENT OF WASTES,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-MOW-18b,,,REMEDIATION,"Remediation plans, methods, confirmation",MANAGEMENT OF WASTES,MANAGEMENT OF WASTES,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-MOW-18b_2,,,REMEDIATION,"Remediation plans, methods, confirmation",MANAGEMENT OF WASTES,MANAGEMENT OF WASTES,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-MOW-18c,,,REMEDIATION,"Remediation plans, methods, confirmation",MANAGEMENT OF WASTES,MANAGEMENT OF WASTES,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-MOW-18d,,,REMEDIATION,"Remediation plans, methods, confirmation",MANAGEMENT OF WASTES,MANAGEMENT OF WASTES,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-O-4a,,,REMEDIATION,"Remediation plans, methods, confirmation",Objectives,Objectives,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-O-4b,,,REMEDIATION,"Remediation plans, methods, confirmation",Objectives,Objectives,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-O-4c,,,REMEDIATION,"Remediation plans, methods, confirmation",Objectives,Objectives,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-O-5,,,REMEDIATION,"Remediation plans, methods, confirmation",Objectives,Objectives,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-PD-4,,,REMEDIATION,"Remediation plans, methods, confirmation",PROBLEM DEFINITION,PROBLEM DEFINITION,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-PLN-17,,,REMEDIATION,"Remediation plans, methods, confirmation",Site Plans,Site Plans,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-PRO-15,,,REMEDIATION,"Remediation plans, methods, confirmation",Proposed Remedial Objectives,Proposed Remedial Objectives,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-PRO-15a,,,REMEDIATION,"Remediation plans, methods, confirmation",Proposed Remedial Objectives,Proposed Remedial Objectives,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-PRO-15b,,,REMEDIATION,"Remediation plans, methods, confirmation",Proposed Remedial Objectives,Proposed Remedial Objectives,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-PRO-16,,,REMEDIATION,"Remediation plans, methods, confirmation",Proposed Remedial Objectives,Proposed Remedial Objectives,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-PRO-16a,,,REMEDIATION,"Remediation plans, methods, confirmation",Proposed Remedial Objectives,Proposed Remedial Objectives,CSAP_NPG,CSAP NPG,
CSAP-NPG-RP-PRO-16b,,,REMEDIATION,"Remediation plans, methods, confirmation",Proposed Remedial Objectives,Proposed Remedial Objectives,CSAP_NPG,CSAP NPG,
